tip_label,accession_num,strain,host,bat_host,country,collection_date,collection_year,title,sub_group
OQ606244,OQ606244,Bat astrovirus,Rousettus madagascariensis,1,Madagascar,2018-02-18,2018,NA,Mamastrovirus
MG693176,MG693176,Bat astrovirus,Eidolon helvum,1,Cameroon,2013-12-15,2013,NA,Mamastrovirus
MZ218054,MZ218054,Bat astrovirus,Myotis daubentonii,1,Denmark,2015-11-15,2015,NA,Mamastrovirus
MZ218053,MZ218053,Bat astrovirus,Myotis daubentonii,1,Denmark,2015-11-15,2015,NA,Mamastrovirus
MN832787,MN832787,Bat astrovirus,Myotis daubentonii,1,Denmark,2014-10-15,2014,NA,Mamastrovirus
MT734809,MT734809,Bat astrovirus,Myotis yumaneisis,1,USA,2020-02-15,2020,NA,Mamastrovirus
NC_001943,NC_001943,Human astrovirus,Homo sapiens,0,England,1988-09-15,1988,NA,Mamastrovirus
NC_002469,NC_002469,Mamastrovirus 13,Ovis aries,0,England,1977-07-15,1977,NA,Mamastrovirus
NC_004579,NC_004579,Mink astrovirus,Neogale vison,0,Sweden/Denmark,2003-07-15,2003,NA,Mamastrovirus
NC_011400,NC_011400,Astrovirus MLB1,Homo sapiens,0,Australia,1999-10-06,1999,NA,Mamastrovirus
NC_013060,NC_013060,Mamastrovirus 9,Homo sapiens,0,USA,2008-08-15,2008,NA,Mamastrovirus
NC_013443,NC_013443,HMO Astrovirus A,Homo sapiens,0,Nigeria,2007-03-21,2007,NA,Mamastrovirus
NC_015935,NC_015935,Mouse astrovirus M-52/USA/2008,Mus musculus,0,USA,2008-07-15,2008,NA,Mamastrovirus
NC_016155,NC_016155,Astrovirus MLB2,Homo sapiens,0,USA,2008-07-15,2008,NA,Mamastrovirus
NC_016896,NC_016896,Astrovirus wild boar/WBAstV-1/2011/HUN,Sus scrofa,0,Hungary,2011-04-15,2011,NA,Mamastrovirus
NC_018702,NC_018702,Murine astrovirus,Mouse,0,USA,2011-01-15,2011,NA,Mamastrovirus
NC_019026,NC_019026,Astrovirus VA3,Homo sapiens,0,India,2005-07-15,2005,NA,Mamastrovirus
NC_019027,NC_019027,Astrovirus VA4,Homo sapiens,0,Nepal,2008-07-15,2008,NA,Mamastrovirus
NC_019028,NC_019028,Astrovirus MLB3,Homo sapiens,0,India,2004-07-15,2004,NA,Mamastrovirus
NC_019494,NC_019494,Porcine astrovirus 3,Sus scrofa,0,USA,2011-06-24,2011,NA,Mamastrovirus
NC_022249,NC_022249,Feline astrovirus 2,Felis catus,0,Hong Kong,2012-03-01,2012,NA,Mamastrovirus
NC_023629,NC_023629,Bovine astrovirus B76/HK,Bos taurus,0,Hong Kong,2009-07-15,2009,NA,Mamastrovirus
NC_023630,NC_023630,Bovine astrovirus B76-2/HK,Bos taurus,0,Hong Kong,2009-07-15,2009,NA,Mamastrovirus
NC_023631,NC_023631,Bovine astrovirus B18/HK,Bos taurus,0,Hong Kong,2009-07-15,2009,NA,Mamastrovirus
NC_023632,NC_023632,Bovine astrovirus B170/HK,Bos taurus,0,Hong Kong,2009-07-15,2009,NA,Mamastrovirus
NC_023636,NC_023636,Porcine astrovirus 5,Sus scrofa,0,USA,2011-06-23,2011,NA,Mamastrovirus
NC_023674,NC_023674,Porcine astrovirus 2,Sus scrofa,0,USA,2010-06-15,2010,NA,Mamastrovirus
NC_023675,NC_023675,Porcine astrovirus 4,Sus scrofa,0,USA,2010-07-15,2010,NA,Mamastrovirus
NC_024297,NC_024297,Bovine astrovirus,Bos taurus,0,China,2014-01-15,2014,NA,Mamastrovirus
NC_024472,NC_024472,Burkina Faso astrovirus,Homo sapiens,0,Burkina Faso,2010-07-15,2010,NA,Mamastrovirus
NC_024498,NC_024498,Bovine astrovirus CH13,Bos taurus,0,Switzerland,2012-03-15,2012,NA,Mamastrovirus
NC_024701,NC_024701,Mamastrovirus 2,Felis catus,0,USA,2013-10-15,2013,NA,Mamastrovirus
NC_025346,NC_025346,Rabbit astrovirus TN/2208/2010,Oryctolagus cuniculus,0,USA,2010-06-04,2010,NA,Mamastrovirus
NC_025379,NC_025379,Mamastrovirus 3,Sus scrofa,0,China: Guangxi,2013-07-15,2013,NA,Mamastrovirus
NC_026814,NC_026814,Canine astrovirus,Canis lupus familiaris,0,United Kingdom,2012-08-15,2012,NA,Mamastrovirus
NC_027711,NC_027711,Dromedary astrovirus,Camelus dromedarius,0,United Arab Emirates,2013-04-04,2013,NA,Mamastrovirus
NC_030922,NC_030922,Mamastrovirus 1,Homo sapiens,0,India,2004-09-02,2004,NA,Mamastrovirus
NC_033792,NC_033792,Qinghai Himalayan marmot astrovirus 1,Marmota himalayana,0,China,2004-07-15,2014,NA,Mamastrovirus
NC_033821,NC_033821,Qinghai Himalayan marmot astrovirus 2,Marmota himalayana,0,China,2004-07-15,2014,NA,Mamastrovirus
NC_034974,NC_034974,Mamastrovirus 2,Sus scrofa,0,Kenya,2012-08-15,2012,NA,Mamastrovirus
NC_036583,NC_036583,Rodent astrovirus,Rattus norvegicus,0,China,2009-07-15,2009,NA,Mamastrovirus
NC_037655,NC_037655,Sichuan takin astrovirus,Budorcas taxicolor tibetana,0,China,2013-07-15,2013,NA,Mamastrovirus
