Accession,Strain,Genus,Geo_Location,Host,Animal,Family,Year,novel,mada
F_MIZ141_1,Bat astrovirus,Mamastrovirus,Madagascar,Rousettus madagascariensis,Bat,Pteropodidae,2018,1,1
F_MIZ141_2,Bat astrovirus,Mamastrovirus,Madagascar,Rousettus madagascariensis,Bat,Pteropodidae,2018,1,1
KY575644,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Miniopteridae,2014,0,1
KY575645,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Miniopteridae,2014,0,1
KY575646,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Miniopteridae,2014,0,1
KY575647,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Miniopteridae,2014,0,1
KY575648,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Miniopteridae,2014,0,1
KY575649,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Miniopteridae,2014,0,1
KY575650,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Miniopteridae,2014,0,1
KY575651,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Miniopteridae,2014,0,1
KY575652,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Miniopteridae,2014,0,1
KY575653,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Miniopteridae,2014,0,1
KY575654,Bat astrovirus,Mamastrovirus,Madagascar,Myotis goudoti,Bat,Vespertilionidae,2014,0,1
KY575655,Bat astrovirus,Mamastrovirus,Madagascar,Myotis goudoti,Bat,Vespertilionidae,2014,0,1
KY575656,Bat astrovirus,Mamastrovirus,Madagascar,Myotis goudoti,Bat,Vespertilionidae,2014,0,1
KY575657,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Rhinonycteridae,2014,0,1
KY575658,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Rhinonycteridae,2014,0,1
KY575659,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Rhinonycteridae,2014,0,1
KY575660,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Rhinonycteridae,2014,0,1
KY575661,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Rhinonycteridae,2014,0,1
KY575662,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Rhinonycteridae,2014,0,1
KY575663,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Rhinonycteridae,2014,0,1
KY575664,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Rhinonycteridae,2014,0,1
KY575665,Bat astrovirus,Mamastrovirus,Madagascar,Paratriaenops furculus,Bat,Rhinonycteridae,2014,0,1
KY575666,Bat astrovirus,Mamastrovirus,Madagascar,Rousettus madagascariensis,Bat,Pteropidae,2014,0,1
KY575667,Bat astrovirus,Mamastrovirus,Madagascar,Rousettus madagascariensis,Bat,Pteropidae,2014,0,1
KY575668,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Rhinonycteridae,2014,0,1
KY575669,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Rhinonycteridae,2014,0,1
KY575670,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Rhinonycteridae,2014,0,1
KY575671,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Rhinonycteridae,2014,0,1
KY575672,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Rhinonycteridae,2014,0,1
KY575673,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Rhinonycteridae,2014,0,1
KY575674,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus griveaudi,Bat,Miniopteridae,2014,0,1
MZ614404,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus gleni,Bat,Miniopteridae,2012,0,1
MZ614405,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus gleni,Bat,Miniopteridae,2012,0,1
MZ614406,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus mahafaliensis,Bat,Miniopteridae,2012,0,1
MZ614407,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Miniopteridae,2012,0,1
MZ614408,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Miniopteridae,2012,0,1
MZ614409,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Miniopteridae,2012,0,1
MZ614410,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Miniopteridae,2012,0,1
MZ614411,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Miniopteridae,2012,0,1
MZ614412,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Miniopteridae,2012,0,1
MZ614413,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Miniopteridae,2012,0,1
MZ614414,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Miniopteridae,2012,0,1
MZ614415,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Miniopteridae,2012,0,1
MZ614416,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus manavi,Bat,Miniopteridae,2012,0,1
MZ614417,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus mahafaliensis,Bat,Miniopteridae,2012,0,1
MZ614418,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus sororculus,Bat,Miniopteridae,2012,0,1
MZ614419,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus sororculus,Bat,Miniopteridae,2012,0,1
MZ614420,Bat astrovirus,Mamastrovirus,Madagascar,Miniopterus sororculus,Bat,Miniopteridae,2012,0,1
MZ614421,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Rhinonycteridae,2012,0,1
MZ614422,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Rhinonycteridae,2012,0,1
MZ614423,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Rhinonycteridae,2012,0,1
MZ614424,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Rhinonycteridae,2012,0,1
MZ614425,Bat astrovirus,Mamastrovirus,Madagascar,Triaenops menamena,Bat,Rhinonycteridae,2012,0,1
MZ614426,Bat astrovirus,Mamastrovirus,Madagascar,Chaerephon leucogaster,Bat,Molossidae,2018,0,1
