pointer,MG693176,MN832787,MT734809,MZ218053,MZ218054
49,17.24137931,26,27.77777778,20,6.896551724
50,17.04545455,26,27.47252747,20,6.818181818
51,17.97752809,27,28.26086957,20.83333333,7.865168539
52,18.88888889,28,29.03225806,21.64948454,8.888888889
53,18.68131868,28,28.72340426,21.64948454,8.791208791
54,18.47826087,29,28.42105263,21.64948454,8.695652174
55,19.35483871,30,28.125,21.64948454,8.602150538
56,19.14893617,30,27.83505155,21.64948454,8.510638298
57,20,31,28.57142857,22.68041237,9.473684211
58,19.79166667,32,29.29292929,23.71134021,10.41666667
59,19.58762887,33,29,23.71134021,10.30927835
60,19.58762887,32,30,23.71134021,10.30927835
61,20.6185567,31,30,23.71134021,10.30927835
62,20.6185567,30,30,22.68041237,10.30927835
63,21.64948454,31,31,23.71134021,11.34020619
64,22.68041237,31,32,24.74226804,12.37113402
65,23.71134021,30,33,23.71134021,12.37113402
66,23.71134021,29,33,22.68041237,12.37113402
67,24.74226804,30,34,22.68041237,13.40206186
68,24.74226804,30,34,23.71134021,14.43298969
69,25.77319588,29,33,23.71134021,15.46391753
70,25.77319588,29,33,24.74226804,16.49484536
71,25.77319588,29,33,23.71134021,16.49484536
72,26.80412371,29,33,23.71134021,16.49484536
73,27.83505155,30,33,24.74226804,17.5257732
74,27.83505155,29,33,24.74226804,17.5257732
75,28.86597938,29,34,25.77319588,18.55670103
76,29.89690722,29,33,25.77319588,19.58762887
77,30.92783505,29,33,26.80412371,20.6185567
78,30.92783505,29,34,27.83505155,21.64948454
79,30.92783505,29,34,27.83505155,21.64948454
80,31.95876289,29,34,27.83505155,21.64948454
81,32.98969072,29,34,27.83505155,21.64948454
82,34.02061856,29,33,27.83505155,21.64948454
83,34.02061856,29,32,27.83505155,21.64948454
84,34.02061856,29,32,27.83505155,21.64948454
85,34.02061856,30,32,27.83505155,21.64948454
86,35.05154639,31,31,27.83505155,21.64948454
87,36.08247423,32,32,27.83505155,22.68041237
88,37.11340206,33,33,27.83505155,23.71134021
89,38.1443299,33,34,27.83505155,23.71134021
90,39.17525773,32,33,26.80412371,23.71134021
91,39.17525773,31,33,25.77319588,23.71134021
92,39.17525773,31,33,25.77319588,23.71134021
93,40.20618557,31,34,24.74226804,23.71134021
94,40.20618557,31,34,23.71134021,23.71134021
95,41.2371134,30,34,23.71134021,23.71134021
96,41.2371134,31,34,24.74226804,24.74226804
97,42.26804124,32,35,25.77319588,25.77319588
98,43.29896907,32,35,25.77319588,25.77319588
99,43.29896907,32,36,26.80412371,26.80412371
100,44.32989691,32,36,27.83505155,27.83505155
101,45.36082474,32,36,27.83505155,27.83505155
102,45.36082474,32,36,27.83505155,27.83505155
103,45.36082474,31,36,27.83505155,27.83505155
104,45.36082474,30,37,27.83505155,27.83505155
105,45.36082474,31,38,28.86597938,28.86597938
106,45.36082474,31,39,28.86597938,28.86597938
107,46.39175258,32,40,29.89690722,29.89690722
108,45.36082474,32,39,30.92783505,30.92783505
109,44.32989691,32,39,30.92783505,30.92783505
